"","chr","new_wind","bkpt_in_window_blood","bkpt_in_window_bone","bkpt_in_window_brain","bkpt_in_window_breast","bkpt_in_window_liver","bkpt_in_window_ovary","bkpt_in_window_pancreatic","bkpt_in_window_prostate","bkpt_in_window_skin","bkpt_in_window_uterus","from","to","density_blood","density_bone","density_brain","density_breast","density_liver","density_ovary","density_pancreatic","density_prostate","density_skin","density_uterus","prod_density_blood","prod_density_brain","prod_density_bone","prod_density_uterus","prod_density_liver","prod_density_prostate","prod_density_skin","prod_density_ovary","prod_density_pancreatic","prod_density_breast","overall_density","blood_bkpt_hotspot_0.5","bone_bkpt_hotspot_0.5","brain_bkpt_hotspot_0.5","breast_bkpt_hotspot_0.5","liver_bkpt_hotspot_0.5","ovary_bkpt_hotspot_0.5","pancreatic_bkpt_hotspot_0.5","prostate_bkpt_hotspot_0.5","skin_bkpt_hotspot_0.5","uterus_bkpt_hotspot_0.5","overall_density_bkpt_hotspot_0.5","blood_bkpt_hotspot_1","bone_bkpt_hotspot_1","brain_bkpt_hotspot_1","breast_bkpt_hotspot_1","liver_bkpt_hotspot_1","ovary_bkpt_hotspot_1","pancreatic_bkpt_hotspot_1","prostate_bkpt_hotspot_1","skin_bkpt_hotspot_1","uterus_bkpt_hotspot_1","overall_density_bkpt_hotspot_1"
"17","1",17,0,1,0,68,9,29,68,24,37,4,1.6e+07,1.7e+07,0,0.000392772977219167,0,0.000354360457541885,0.000403388463089956,0.000405067534535499,0.000793215673008504,0.000500615339688367,0.00067581143034576,0.000589796520200531,0,0,2.68104421310012e-06,7.75903582268151e-05,4.89372910543509e-05,8.636119418763e-05,2.43233403413305e-05,1.50187931669228e-05,4.15927548055964e-05,9.2190891606848e-05,0.000388695667602594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","1",18,1,0,0,66,11,8,33,7,34,8,1.7e+07,1.8e+07,0.000429922613929493,0,0,0.000343938091143594,0.000493030343776612,0.000111742768147724,0.00038494290013648,0.000146012807409107,0.000621015908966374,0.00117959304040106,6.1226956187911e-05,0,0,0.00015518071645363,5.98122446219845e-05,2.51886816380587e-05,2.23511776109523e-05,4.1431153563925e-06,2.01847192438924e-05,8.94793947948818e-05,0.000437567005907703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","1",19,0,2,0,48,1,8,21,22,18,3,1.8e+07,1.9e+07,0,0.000785545954438335,0,0.000250136793558978,4.48209403433284e-05,0.000111742768147724,0.000244963663723214,0.000458897394714336,0.000328773128276316,0.000442347390150398,0,0,5.36208842620024e-06,5.81927686701113e-05,5.43747678381677e-06,7.91644280053275e-05,1.18329763822689e-05,4.1431153563925e-06,1.28448213370224e-05,6.50759234871868e-05,0.000242053598448326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","1",20,1,0,0,57,16,17,12,11,36,0,1.9e+07,2e+07,0.000429922613929493,0,0,0.000297037442351286,0.000717135045493254,0.000237453382313913,0.000139979236413265,0.000229448697357168,0.000657546256552631,0,6.1226956187911e-05,0,0,0,8.69996285410684e-05,3.95822140026637e-05,2.36659527645378e-05,8.80412013233406e-06,7.33989790686995e-06,7.72776591410343e-05,0.000304896428676419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","1",21,0,0,0,52,8,8,10,18,9,2,2e+07,2.1e+07,0,0,0,0.000270981526355559,0.000358567522746627,0.000111742768147724,0.000116649363677721,0.000375461504766275,0.000164386564138158,0.000294898260100265,0,0,0,3.87951791134076e-05,4.34998142705342e-05,6.47708956407225e-05,5.91648819113444e-06,4.1431153563925e-06,6.11658158905829e-06,7.0498917111119e-05,0.000233740991272368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","1",22,0,0,0,36,10,27,15,11,18,0,2.1e+07,2.2e+07,0,0,0,0.000187602595169233,0.000448209403433284,0.000377131842498568,0.000174974045516582,0.000229448697357168,0.000328773128276316,0,0,0,0,0,5.43747678381677e-05,3.95822140026637e-05,1.18329763822689e-05,1.39830143278247e-05,9.17487238358743e-06,4.88069426153901e-05,0.000177754787549903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","1",23,0,0,0,66,7,38,35,22,40,8,2.2e+07,2.3e+07,0,0,0,0.000343938091143594,0.000313746582403299,0.000530778148701689,0.000408272772872024,0.000458897394714336,0.000730606951725146,0.00117959304040106,0,0,0,0.00015518071645363,3.80623374867174e-05,7.91644280053275e-05,2.62955030717086e-05,1.96797979428644e-05,2.1408035561704e-05,8.94793947948818e-05,0.000429270213316834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","1",24,2,2,0,62,7,34,20,22,7,2,2.3e+07,2.4e+07,0.000859845227858985,0.000785545954438335,0,0.000323093358347013,0.000313746582403299,0.000474906764627827,0.000233298727355442,0.000458897394714336,0.0001278562165519,0.000294898260100265,0.000122453912375822,0,5.36208842620024e-06,3.87951791134076e-05,3.80623374867174e-05,7.91644280053275e-05,4.60171303754901e-06,1.76082402646681e-05,1.22331631781166e-05,8.40564011709496e-05,0.000402337463058758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","1",25,2,4,0,61,4,40,13,17,16,6,2.4e+07,2.5e+07,0.000859845227858985,0.00157109190887667,0,0.000317882175147867,0.000179283761373314,0.00055871384073862,0.000151644172781037,0.00035460253227926,0.000292242780690058,0.000884694780300796,0.000122453912375822,0,1.07241768524005e-05,0.000116385537340223,2.17499071352671e-05,6.11725125495712e-05,1.05182012286835e-05,2.07155767819625e-05,7.95155606577578e-06,8.27006527649666e-05,0.000454372033094672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","1",26,4,0,0,66,17,22,25,5,17,2,2.5e+07,2.6e+07,0.00171969045571797,0,0,0.000343938091143594,0.000761955985836583,0.000307292612406241,0.000291623409194303,0.000104294862435076,0.000310507954483187,0.000294898260100265,0.000244907824751644,0,0,3.87951791134076e-05,9.24371053248851e-05,1.79919154557562e-05,1.11755888054762e-05,1.13935672300794e-05,1.52914539726457e-05,8.94793947948818e-05,0.000521472029448776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
