"chr","new_wind","count_sl_15_30","count_sl_16_50","count_sl_6_15","length_sl_15_30","length_sl_16_50","length_sl_6_15","from","to","coverage_sl_15_30","coverage_sl_16_50","coverage_sl_6_15"
"1",28,8338,219,17732,452170,9276,489480,27000000,28000000,0.45217,0.009276,0.48948
"1",29,8549,274,18105,470950,11370,501424,28000000,29000000,0.47095,0.01137,0.501424
"1",30,7363,199,15939,401890,7997,442702,29000000,30000000,0.40189,0.007997,0.442702
"1",31,7988,191,16966,433510,9034,475583,30000000,31000000,0.43351,0.009034,0.475583
"1",32,8238,227,17631,454172,10199,496144,31000000,32000000,0.454172,0.010199,0.496144
"1",33,8320,216,17882,450115,8970,493726,32000000,33000000,0.450115,0.00897,0.493726
"1",34,8294,222,17854,454932,9316,498554,33000000,34000000,0.454932,0.009316,0.498554
"1",35,8120,220,17443,434863,8873,483711,34000000,35000000,0.434863,0.008873,0.483711
"1",36,8233,256,17572,454051,11551,494973,35000000,36000000,0.454051,0.011551,0.494973
"1",37,8414,244,17894,466748,10544,500576,36000000,37000000,0.466748,0.010544,0.500576
"1",38,8129,253,17539,439527,10663,487366,37000000,38000000,0.439527,0.010663,0.487366
"1",39,8234,233,17581,442529,9382,488650,38000000,39000000,0.442529,0.009382,0.48865
"1",40,8435,225,17932,460918,9254,498815,39000000,40000000,0.460918,0.009254,0.498815
"1",41,8386,250,17970,461915,10058,501098,40000000,41000000,0.461915,0.010058,0.501098
"1",42,8258,234,17627,455326,9572,497502,41000000,42000000,0.455326,0.009572,0.497502
"1",43,8285,230,17622,447781,9823,494480,42000000,43000000,0.447781,0.009823,0.49448
"1",44,8062,251,17679,441154,10978,489640,43000000,44000000,0.441154,0.010978,0.48964
"1",45,8146,222,17436,444384,9133,485908,44000000,45000000,0.444384,0.009133,0.485908
"1",46,8171,250,17807,448030,11654,493454,45000000,46000000,0.44803,0.011654,0.493454
"1",47,8363,199,17790,455558,7729,495883,46000000,47000000,0.455558,0.007729,0.495883
"1",48,8257,216,17629,448424,9570,491186,47000000,48000000,0.448424,0.00957,0.491186
"1",49,8183,221,17436,447874,10171,491751,48000000,49000000,0.447874,0.010171,0.491751
"1",50,8337,290,17685,464724,12050,503721,49000000,50000000,0.464724,0.01205,0.503721
"1",51,8116,285,17428,460043,13037,504513,50000000,51000000,0.460043,0.013037,0.504513
"1",52,8396,315,17874,485426,13052,517024,51000000,52000000,0.485426,0.013052,0.517024
"1",53,8467,246,17915,480284,10409,509881,52000000,53000000,0.480284,0.010409,0.509881
"1",54,8314,257,17689,461053,11127,499484,53000000,54000000,0.461053,0.011127,0.499484
"1",55,8336,244,17658,453110,9680,491362,54000000,55000000,0.45311,0.00968,0.491362
"1",56,8360,229,17786,456231,9657,498222,55000000,56000000,0.456231,0.009657,0.498222
"1",57,8350,283,17611,466343,15602,504705,56000000,57000000,0.466343,0.015602,0.504705
"1",58,8437,271,17968,472036,11521,506239,57000000,58000000,0.472036,0.011521,0.506239
"1",59,8370,250,17509,460471,11038,495695,58000000,59000000,0.460471,0.011038,0.495695
"1",60,8390,253,17683,460260,12055,501853,59000000,60000000,0.46026,0.012055,0.501853
"1",61,8372,264,17604,477511,12316,514518,60000000,61000000,0.477511,0.012316,0.514518
"1",62,8494,306,17887,479582,12392,514659,61000000,62000000,0.479582,0.012392,0.514659
"1",63,8585,275,17966,480338,11432,513262,62000000,63000000,0.480338,0.011432,0.513262
